id,dataset,StartDate,EndDate,Age,Sex,Sex_TEXT,Ethnicity,Ethnicity_TEXT,Education,FAMT1,codFAMT1,FAMT2,codFAMT2,FAMT3,codFAMT3,FAMT4,codFAMT4,FAMT5,codFAMT5,FAMT6,codFAMT6,FAMT7,codFAMT7,FAMT8,codFAMT8,FAMT9,codFAMT9,FAMT10,codFAMT10,FAMT11,codFAMT11,FAMT12,codFAMT12,FAMT13,codFAMT13,FAMT14,codFAMT14,FAMT15,codFAMT15,AMT1,codAMT1,AMT2,codAMT2,AMT3,codAMT3,AMT4,codAMT4,AMT5,codAMT5,AMT6,codAMT6,AMT7,codAMT7,AMT8,codAMT8,AMT9,codAMT9,AMT10,codAMT10,EFTT_dichot1,EFTT_dichot2,EFTT_dichot3,EFTT_dichot4,EFTT_dichot5,EFTT_dichot6,EFTT_dichot7,EFTT_dichot8,EFTT_dichot9,EFTT_dichot10,EFTT_dichot11,EFTT_dichot12,EFTT_dichot13,EFTT_dichot14,EFTT_dichot15,AMTdichot1,AMTdichot2,AMTdichot3,AMTdichot4,AMTdichot5,AMTdichot6,AMTdichot7,AMTdichot8,AMTdichot9,AMT_dichot10
1.00,1.00,11/23/2017 16:47,11/23/2017 16:58,24,2,,1,,4,I will go on a vacation with my family in the future. We will go on a cruise most likely.,2.00,I will be in another city and get lost and need to ask for directions.,1.00,I will work out and feel good about myself and have energy to do whatever I want.,3.00,I will get a speeding ticket and have to go to court to pay for it and take a driver improvement class,1.00,I will get my hair done and feel really good.,1.00,I will not get a job and feel disappointed in myself.,4.00,I will learn how to cook with a simple recipe bookz,3.00,I will see a big spider and have to get rid of it,1.00,I will have a bad day but feel like things will improve,1.00,I will have to pay a bunch of bills but not have enough money,3.00,I will spend some time reading and relaxing,1.00,I will get a better job and improve my income,2.00,I will get a nice ring to wear,1.00,I will look for a house to buy and pick one that suits me,3.00,I will go to the grocery store and buy groceries,1.00,I was excited when I got a new car because my old one kept breaking down,1.00,I started watching a new tv show but was so bored with it,3.00,I spent thanksgiving with my family and friends and enjoyed it,1.00,I got two speeding tickets and feel disappointed in myself,3.00,I won 50 on a 5 scratch off ticket,1.00,I felt everrrhing was piling up and getting too much to handle and deal with,2.00,I took some time off to relax and spend time with family,2.00,I felt alone and like I had no one to talk to when my relationship failed,2.00,I felt relieved when I didn't get into a car accident when someone almost hit my car,1.00,I felt sad when my dog died during the summer,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00
2.00,1.00,11/23/2017 16:43,11/23/2017 17:04,32,2,,1,,3,Spending time with family and friends for the holidays are moments that I am happy.,3.00,I will feel lost if I lost my pet cat.,2.00,I will feel strong when I get through unemployment.,2.00,I will feel like I am in trouble if I can't pay my debts on time.,4.00,I will feel beautiful if I have to dress up for a big event.,1.00,I will feel like a failure if I lost my job.,2.00,I will feel like the classes that I take in college and pass are very easy to me.,3.00,I will feel fearful if I am facing a bad situation like unemployment.,4.00,I will feel hopeful when I come out of church and feel positive about my life.,1.00,I will feel stress if I am having money trouble.,4.00,I feel like reading a book to keep busy.,3.00,When I earn money on my future checks will help me relieve me some stress.,3.00,I feel that I will have to take matters in my own hands and deal with problems.,4.00,I will buy a house in the future.,2.00,I will need to drink water in the future with my dinner.,3.00,I felt excited when I found out I earned a scholarship for college.,1.00,I felt bored when I watched a boring movie and didn't have anything else to do.,1.00,I felt happy when I had went to dine out.,3.00,I felt like a failure when I didn't pass my test.,1.00,I felt lucky when I found a ten dollar bill.,1.00,I felt hopeless when I lost my job because my future was uncertain.,2.00,I felt relaxed when I lying on the couch and listened to music.,3.00,I felt lonely when I didn't have anybody to speak with about a problem.,2.00,I felt relieved when I got a major final over with.,1.00,I felt sad when I heard new that my father passed away.,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00
3.00,1.00,11/23/2017 16:46,11/23/2017 17:04,30,2,,4,,3,One day I will be in paradise,4.00,I could get lost on the bus on my way to my new job.,1.00,I will finally be able to leave behind all of my sorrows.,4.00,I could get in trouble with the law if I don't control my anger.,4.00,My daughter will be a beautiful bride,1.00,If I don't not learn to drive next year I will feel like a failure,4.00,Things can be easy if I plan out how to spend my income tax,4.00,I am afraid that I will not be looked at as a mature person.,4.00,I am hopeful that my family and myself will be okay in the years to come.,4.00,I could get really sick if I don't deal with my stress in a timely matter.,4.00,I will not be reading  many books in the next year.,4.00,I could save more money next year by not eating out,4.00,I could have pain in my hands from typing too much,1.00,It would be nice to move to a less expressive house,2.00,I can start the new year off right with the goal of more water intake,3.00,I was excited to find a check in the mail,1.00,I was bored last night so I went to bed,1.00,I was happy to spend the day with my kids yesterday.,1.00,I felt like a failure when I did not pass my driving exam.,1.00,I never feel lucky. I don't believe in luck. Although I do feel blessed daily.,4.00,I felt hopeless when I was broke and lonely 7 years ago.,2.00,I felt relaxed last night after I had my bath.,1.00,I felt lonely last month with no one to talk to,2.00,I felt relieved last week when i seen my job forms.,1.00,I felt sad when my son was born ill 6 years ago,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00
4.00,1.00,11/23/2017 16:45,11/23/2017 17:06,23,1,,4,,4,happy live long happily,4.00,lovely matter tells again,4.00,strong will be love kiss,4.00,the lovely world surprise bird,4.00,oh go beautiful world life,4.00,failure of the going to be loud,4.00,we are lovely equal life,4.00,fearful love life the love going,4.00,hopeful life boing sea life,4.00,stress life the world,4.00,life u what life what,4.00,life with out lovely grid,4.00,hand is very useful to us,4.00,going to be wonderful,4.00,Please describe a specific future event related to the word: WATER,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,Please describe a specific past event related to the word: EXCITED,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,1.00,11/23/2017 16:45,11/23/2017 17:06,34,2,,1,,4,"I will be going to see An American in Paris next month with my mom, we should have a good time.",1.00,I'll be taking a family trip to Chicago in March.  I hope we don't get lost driving downtown.,1.00,I've been working out more and lifting weights.  I expect to continue to get stronger.,3.00,I hope I don't have trouble in the future.  I'm sure there may be some trouble with my taxes this year though.,4.00,"I am going to be getting a beautiful pair of boots.  I ordered them, but they haven't arrived yet.",1.00,"Well, I may be going back to school to change careers, and I don't expect there to be any failure.",2.00,My work day on my first day back after the holiday will probably not be easy.,1.00,I am kind of fearful and dreading going back to work.,2.00,I am hopeful that my health will continue to be good and I won't have anything to worry about.,4.00,I may be stressed about money when I do my taxes next year.,1.00,I have about 10 books on my library wishlist that I am waiting to get to.  I just never seem to have enough time to read.,3.00,I am anxious about money lately.  I am afraid I am going to owe the government taxes and I will have to use some of my savings.,4.00,I will need to make sure I use lotion this winter so my hands don't get so dry.,3.00,I will help paint my parents house this summer.,2.00,I am going to try to drink more water and less pop for a lot of reasons.,3.00,The last time I was excited was when we went to see Kristen Chenoweths' one woman show in Lincoln.,1.00,I was so bored at work when I had to work the overnight shift at work and had nothing to do.  It was so hard trying to stay awake.,1.00,I was really happy when I came home for the holidays.  I've been to busy to see my family much lately.,2.00,"I felt like a failure when I quit my previous job.  I had only been there about 8 week and I've never really done that before, but it was just a really bad fit.",1.00,I felt really unlucky when I had a pretty bad car accident a couple years ago.,1.00,"I felt pretty hopeless when we had a patient that was in really bad shape, we spent a lot of time working on him, but he wasn't doing well.",1.00,I felt really relaxed a couple days ago when I had to take a xanex to get some sleep.,1.00,I have felt lonely away from my family for a while since I've been working so much.,2.00,I was so relieved to have some time off work to get away.  Its been a while.,2.00,I was sad when one of my work friends was quiting and moving back across the country,2.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00
6.00,1.00,11/23/2017 16:42,11/23/2017 17:07,22,1,,3,,4,happy travel januray lify,2.00,my bag is lost for money,4.00,strong is good for humanity lify,5.00,trouble is good one for  trible,4.00,beautiful is most for using girl,4.00,love failure for good one human life,4.00,easy money for lify,4.00,fearful is good  one  for lify,4.00,"hopeful  specific future event related to the word: HOPEFUL

hopeful 
 specific future event related to the word: HOPEFUL

hopeful 
 specific future event related to the word: HOPEFUL

hopeful 
 specific future event related to the word: HOPEFUL

hopeful 
hopefull is good for one",5.00,stress is bad for life,4.00,book for 100 friends for equal,4.00,money is important one human lify,4.00,hand is using for one,4.00,house is human living soursc,4.00,water is important one human lify,4.00,"good Your response must be at least 20 characters.

Please describe a specific past event related to the word: EXCITED",5.00,bad  Please describe a specific past event related to the word:  BORED,5.00,express Please describe a specific past event related to the word: HAPPY,5.00,wonder full Please describe a specific past event related to the word: FAILURE,5.00,quality Please describe a specific past event related to the word: LUCKY,5.00,help Please describe a specific past event related to the word: HOPELESS,5.00,rest Please describe a specific past event related to the word: RELAXED,5.00,living alown Please describe a specific past event related to the word: LONELY,5.00,good  Please describe a specific past event related to the word: RELIEVED,5.00,Please describe a specific past event related to the word: SAD,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.00,1.00,11/23/2017 16:48,11/23/2017 17:09,34,2,,1,,4,I am able to finally pay off a few of my bills and loans that have been dragging me down. It's definitely going to make me happy seeing that i owe ZERO and I can start saving more money to do fun things that really make me happy.,1.00,"I know that my dog, Mazzy, will eventually pass away, and I will feel completely out of sorts and totally lost. She is such a huge part of my life.",1.00,"I am going to have to get sinus surgery probably next year, it's going to be really scary but I know I have to be strong. In the end, its going to be so worth it.",1.00,"I know my husband and I will have some troubles. We dont ever get in to real fights, but we have had a hard time communicating lately.",3.00,"When I finally get the chance to go get my hair done, I am also going to get my eye brows down and a mani and pedi. these always make me feel so nice and beautiful.",1.00,I know there are things in my job that will arise when I will feel like a failure. Because my one coworker always try to be the best at everything and she gets all of the accolades and credit.,4.00,"I am going to keep taking side jobs and doing little things that, i will get out of debt a lot easier",3.00,I am fearful of the future in general,4.00,I am hopeful that I can make my life better by taking steps to get my life in order.,4.00,I am feeling stress about having to do a presentation in January in front of a ton of people in my field.,1.00,I have an amazon gift card and I am looking forward to using it to get some new books to read,1.00,I am excited to have more money in the future because in 2 years i will have my car and student loans paid off!,2.00,I hope to lend a helping hand by doing some volunteer work,1.00,I hope to move out of my current house because i hate the neighbourhood SO MUCH,2.00,I hope to go on vacation in fiji where the water is amazing,2.00,I was really excited when I got my assistantship for grad school,1.00,I was really bored during my sister in laws wedding...hahah,1.00,I was happy when i adopted my baby girl (dog),1.00,I felt like a failure when i couldnt pass math classes in college,3.00,I felt lucky that the doctor caught my MRSA infection just in time,2.00,I felt hopeless when I lost my job,2.00,I felt relaxed when I was hanging out with friends without a care in the world,3.00,I felt lonely when i moved to a new town and i knew noone,2.00,I felt relieved when I graduated,1.00,I felt sad when all of my grandparents had passed away,2.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
8.00,1.00,11/23/2017 16:44,11/23/2017 17:10,33,2,,1,,4,I can picture my kids next birthday party and being so happy because she is so happy.  We will laugh and have fun.,1.00,I can see going out in the forest with my family and going to places we havent been before.  there is a good chance that we will get lost while out hiking in an area we have never been before.,1.00,As my children get older they are going to meet people who do not understand who they are and are going to make fun of them for who they are.  They are going to have to be strong and rise above all of the adversity.,4.00,"I can see my children out playing at recess and when another person makes fun of one of them the other will punch that kid.  I am sure they will get into trouble for their actions, but I would be very proud of them.",1.00,My grandmother will decorate her christmas tree with every ornament that she has from when my grandfather was alive.  And it will be the most beautiful tree that I have ever seen.  Because she puts so much love and thought into where each ornament goes.,4.00,"I am worried that when I decide to go back to work, once my children are in school.  I worry that it has been so long since my last job, that I will be a failure with whatever I try.",2.00,When my child gets into kintergarden she is going to be more then ready.  She has started learning math and reading.  School is going to be really easy for her as long as she stays focused.,2.00,"I am fearful that there is going to be a day, when my children get older, that they are not going to need me anymore.  They are just going to walk out that door and never come back.",1.00,"When my special needs child graduates from school, I am hopeful that she will become a productive member of society.  I hope that she becomes the doctor that she wants to be, and that she can do everything she sets her mind to.",4.00,in the future I will have to chose the day when I have to put any of my dogs to sleep.  The thought of having to say goodbye to my first children is very stressful.,3.00,When my kid comes home from school with a new book in her hand and tells me that she loves to read.  And that her new book as transported her to new and exciting places.,1.00,"when my kids walk out the door for their first day of college.  I hope that we have the money to be able to send them to any school that they want, and they never have to worry about student loans and paying for school later.",1.00,"I can see my children getting into a fist fight, over who stole who's boyfriend.  And during that fist fight I can see one of them breaking their hand, because they punched the wall instead of each other.",4.00,"Walking through the trees and into a clearing, stands the house of our dreams.  Its big enough for all of our animals and children and it has a great big yard that is sucluded from otheres.",1.00,"as the summer thunderstorm rolls through, I hear the water pounding against the windows.  As the rain startsts to let up the hail begins its mad destruction.",1.00,"I felt excited the day that I finally married my husband.  Even though the day wasnt perfect, it was perfect in my heart.",1.00,I was bored when I had to sit through a lecture about zip codes in college.  I knew most of the information already and didnt need to hear it again.,1.00,I was happy on the day that we brought our first child into the world.  We spent months getting ready for this wonderful day and when it was here I couldnt have asked for a better day.,1.00,I felt like a failure when my first child was about a month old.  My child never stopped crying and it made me cry and I felt like the worst mother in the world.,2.00,I felt lucky with my second child.  this child was a complete personality they its sibling.  Quiet and fun.,4.00,I felt hopeless when I found out that my parents had stolen money from me. I knew there was nothing I could do about it and nothing I could change about it.,1.00,I felt relaxed the first time that I left my children at some one elses house.  they were 2 and 4 and I had never had a night to myself since they were born.,1.00,I felt lonely they first time that my husband went on a business trip.  It was just me and the dogs all alone in our house.,2.00,I was relieved the first time a school teacher told me my child was gifted.  I was always worried that I hadnt done enough for her before she went to school.,1.00,I was sad the day that my grandpa died.  He was like my father and losing him was like losing a piece of myself.,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00
9.00,1.00,11/23/2017 16:52,11/23/2017 17:11,68,1,,1,,4,I am the most happy being with my wife every day.  WE have a level of happiness I cant describe,3.00,I love the movie Lost and really want to watch it again,1.00,I hope I will be strong enough to do a major hike next week,1.00,Its not trouble taking care of the house next door when they are gone for several weeks,2.00,The desert so beautiful and I love being here everyday to enjoy it,4.00,If we don't get moved on to our home soon this could be a failure,2.00,Its easy to imagine going to a concert next week,1.00,I am fearful that the dodgers will never win,4.00,I am hopeful that we will be in Pismo soon,2.00,I don't have any stress to deal with and that's why I enjoy my life so much,4.00,That book I got was good but I want to get more books to read,4.00,WE will have all the money we need soon,4.00,I will give you a hand to get you where you need to go,4.00,Our house is waiting for us we just haven't moved yet,2.00,The drought is over but we still have to be good about water use,4.00,I was excited to move here to this trialer,2.00,I am never bored when I am with my wife,4.00,I enjoy the happiness of being here in the desert,4.00,There is not failure in our lives,4.00,I use to be very lucky and will be again,4.00,there is nothing hopeless here at all,4.00,I am always very relaxed,4.00,I am never lonely but I am truly happy,4.00,I was relived she saw the truth,4.00,we are never sad but we are happy,4.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.00,1.00,11/23/2017 16:45,11/23/2017 17:13,36,1,,1,,4,I might get an unexpected gift for Christmas next month. It could be a new tablet or something similar. I would enjoy the gift very much and would feel happy for a little while afterwards.,1.00,"Next month, I might have to drive my friend to an appointment somewhere. I would have the directions written down, but I would get lost on the way there. I would then drive around for a long time before finally finding the place. It would be very frustrating.",1.00,"Next month, I have to help my friend move to a new apartment. She asks me to help move a bookcase, so I pick it up by myself and put it in the back of a truck. I feel very strong for having carried the bookshelf by myself.",1.00,"I don't make enough money next month, and so I start to worry about how I'm going to pay the rent. I am in a lot of trouble and don't really know what to do. I'm very worried and have trouble sleeping thanks to this.",2.00,"I go on a walk through the woods sometime next spring. I see a lot of beautiful things out there, like flowers and different shades of colored leaves. It is a pleasant experience that makes me feel alive.",1.00,"My brother asks me to help him make some graphics for a new game he's working on next year. I don't have the time to work on it, and so I end up putting some stuff together at the last minute. The work I submit to him is very unpolished and he's disappointed in my failure to deliver. It makes me feel very bad about myself and my abilities.",1.00,"My mom asks me to help her fix her computer next month. I think it's going to be difficult, but after a few minutes I've found a solution and start working on it. It takes me about 15 minutes total to get her computer in working order again, so it ends up being fairly easy. I feel pretty proud of what I've done.",1.00,I am walking through my neighborhood alone a few months from now at night. There is a loud sound behind me and I feel very fearful. I start running to get to my apartment and my heart is pounding. I am very worried something bad might happen now.,1.00,I finally get a break and start making more money sometime next spring. This makes me feel hopeful about the future and about how I'm going to start making progress in my life. I feel pretty good about the future going forward.,2.00,"A couple of months from now, a fire burns my apartment down while I'm away for a couple of days. I lose everything I own, and I have nowhere to go. I feel a lot of stress and worry about this. I don't know if I'll be able to make it after this happens.",1.00,"My roommate really likes books, so I order him a couple of episodes from one of his favorite series. When I get them, I wrap them up in gift wrap and then give them to him on Christmas Day. He is very happy and thankful for my gift.",1.00,"I get a check in the mail in February and go to the bank to cash it. The teller asks me how I'd like it, and I tell her I'd just like to have the money. So she hands me an envelope with $200 in it, which is the amount that was on the check.",1.00,"Tomorrow, I wake up and my hand is numb. It takes about 15 minutes before my hand has full sensation again, and I feel better once that is gone. I would feel a little aggravated that it takes so long to get the feeling back.",1.00,"Next month, my mom has an appointment at the dentist she wants me to bring her to, so I drive out to her house to pick her up. She isn't ready yet, so I go in and wait for her to get ready. I then drive her from her house to the dentist, and she makes it to her appointment on time.",1.00,"Next week, I have to wash a bunch of dishes after the sink gets full. I start running the water and stop up the drain with a rag to keep it from emptying. I then wash all the dishes by hand and arrange them on the dish rack. I feel pretty good about getting the dishes done.",1.00,"Earlier this month, my dad gave me $30 as a gift for my birthday. I was pretty excited since I was wanting to get some things for myself but had no money.",1.00,"In high school, I was in history class and got very bored one day. I spent the whole class just filling my notebook with doodles. I tried to keep myself from falling asleep, but it was very difficult.",1.00,"A couple of years ago on my birthday, I was at my apartment working on some things, and I heard a knock on the door. I opened it up and it was a friend of a friend who had come with a container filled with oatmeal cookies for me. I was very happy to have received these, as those are my favorite kinds of cookies, and they were quite tasty.",1.00,"About 10 years ago, I applied at the local Post Office for a job, and I went to the facility to take the written exam. After finishing the exam, I was pretty sure I didn't do very well on it, and I felt like quite a failure. I never heard anything back from them, so I assume I did just as poorly as I thought I had.",1.00,"I was at work one day and was walking along the asphalt and saw a $20 bill just lying there. I looked around and didn't see anyone looking for it, so I picked it up and put it in my pocket. I felt very lucky that day, especially since I had no money to speak of at that moment.",1.00,"My mother has schizophrenia, and one night when I was a kid, she was screaming for several days in a row, and I was unable to concentrate or do anything while this was happening. I felt so hopeless that night after 3 days of screaming that I thought about ending my own life.",1.00,"Last Christmas Eve, I was at my dad's house with my brothers, and we were all hanging out there talking. I felt very relaxed there and at ease, and I felt like the weight of the world was off my shoulders for a little bit.",1.00,"Several years ago, I was going to college and working, and one night after I got off work, I was sitting in my apartment and started getting very depressed. I felt so alone there and felt like I would never be able to get over my anxieties, so I wrote a suicide note and made plans to end my life. I didn't go through with it, however.",1.00,"A few weeks ago, my grandmother called me and said something was wrong, and then I called her back a few times but got no answer. I got really worried about her, and I eventually was able to contact my mom, and she said Grandma was okay. I felt very relieved that everything was okay.",1.00,"Six years ago, my cat, Spindle, got really sick and died right in front of me. It was very unpleasant, and I felt quite sad for a few weeks afterwards. He was a very good friend of mine, and it made me quite sad when I saw his dead body there on my floor.",1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
